,suburb_id,postcode,state,distance_km,population,median_income,ttl_properties_sold,ttl_house_sold,ttl_house_tier1,ttl_house_tier2,ttl_house_tier3,ttl_apt_sold,ttl_apt_tier1,ttl_apt_tier2,ttl_apt_tier3,house_affordability_tier1,house_affordability_tier2,house_affordability_tier3,apt_affordability_tier1,apt_affordability_tier2,apt_affordability_tier3,properties_ttl,house_ttl,house_3beds_ttl,house_4beds_ttl,house_5beds_ttl,apt_ttl,apt_1bed_ttl,apt_2beds_ttl,apt_3beds_ttl,house_ttl_perc,house_3beds_perc,house_4beds_perc,house_5beds_perc,apt_ttl_perc,apt_1bed_perc,apt_2beds_perc,apt_3beds_perc,price_house_2016,price_house_2017,price_house_2018,price_house_2019,price_house_2020,price_house_2021,price_apt_2016,price_apt_2017,price_apt_2018,price_apt_2019,price_apt_2020,price_apt_2021,house_5yr_growth,house_2017_growth,house_2018_growth,house_2019_growth,house_2020_growth,house_2021_growth,apt_5yr_growth,apt_2017_growth,apt_2018_growth,apt_2019_growth,apt_2020_growth,apt_2021_growth,price_house_jan21,price_house_feb21,price_house_mar21,price_house_apr21,price_house_may21,price_house_jun21,price_house_jul21,price_apt_jan21,price_apt_feb21,price_apt_mar21,price_apt_apr21,price_apt_may21,price_apt_jun21,price_apt_jul21,house_6mths_growth,house_feb_growth,house_mar_growth,house_apr_growth,house_may_growth,house_jun_growth,house_jul_growth,apt_6mths_growth,apt_feb_growth,apt_mar_growth,apt_apr_growth,apt_may_growth,apt_jun_growth,apt_jul_growth
844,nowergup-wa-6032,6032,WA,36.327,195,40664,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,,,5.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,herston-qld-4006,4006,QLD,2.259,2215,32448,25.0,20.0,12.0,0.0,0.0,5.0,2.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,199.0,127.0,59.0,35.0,13.0,72.0,7.0,47.0,17.0,0.638,0.465,0.276,0.102,0.362,0.097,0.653,0.236,805000.0,870000.0,790000.0,815000.0,890000.0,915500.0,370000.0,368000.0,333000.0,347000.0,370000.0,455000.0,0.137,0.081,-0.092,0.032,0.092,0.029,0.23,-0.005,-0.095,0.042,0.066,0.23,0.0,748000.0,0.0,915500.0,0.0,1425000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.0,,-1.0,,-1.0,,,,,,,
846,linley-point-nsw-2066,2066,NSW,7.258,346,68588,4.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,,,,36.0,36.0,7.0,11.0,12.0,0.0,0.0,0.0,0.0,1.0,0.194,0.306,0.333,0.0,,,,2605000.0,0.0,3700000.0,2610000.0,4998888.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,-1.0,,-0.295,0.915,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,spotswood-vic-3015,3015,VIC,7.486,2604,48776,38.0,31.0,17.0,3.0,0.0,7.0,5.0,0.0,0.0,0.548,0.097,0.0,0.714,0.0,0.0,362.0,328.0,187.0,60.0,8.0,34.0,8.0,23.0,3.0,0.906,0.57,0.183,0.024,0.094,0.235,0.676,0.088,932500.0,1015000.0,1050000.0,870000.0,950000.0,1100000.0,320000.0,527500.0,610000.0,405000.0,542000.0,466500.0,0.18,0.088,0.034,-0.171,0.092,0.158,0.458,0.648,0.156,-0.336,0.338,-0.139,0.0,925000.0,830000.0,1033000.0,1100000.0,969000.0,1220000.0,0.0,0.0,0.0,466500.0,0.0,523000.0,0.0,,,-0.103,0.245,0.065,-0.119,0.259,,,,,-1.0,,-1.0
848,albanvale-vic-3021,3021,VIC,20.024,5491,22776,62.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,517.0,509.0,370.0,117.0,11.0,8.0,0.0,2.0,6.0,0.985,0.727,0.23,0.022,0.015,0.0,0.25,0.75,441000.0,530000.0,550000.0,512500.0,526000.0,605000.0,0.0,505500.0,0.0,367000.0,0.0,0.0,0.372,0.202,0.038,-0.068,0.026,0.15,,,-1.0,,-1.0,,695000.0,520000.0,600000.0,580000.0,599000.0,636000.0,561000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.193,-0.252,0.154,-0.033,0.033,0.062,-0.118,,,,,,,
849,chermside-qld-4032,4032,QLD,9.43,9315,35984,141.0,44.0,3.0,0.0,0.0,97.0,2.0,0.0,0.0,0.068,0.0,0.0,0.021,0.0,0.0,986.0,417.0,277.0,59.0,16.0,569.0,44.0,449.0,74.0,0.423,0.664,0.141,0.038,0.577,0.077,0.789,0.13,592000.0,565000.0,588000.0,580000.0,632000.0,736000.0,340000.0,355000.0,370000.0,349000.0,353500.0,372000.0,0.243,-0.046,0.041,-0.014,0.09,0.165,0.094,0.044,0.042,-0.057,0.013,0.052,800000.0,775000.0,568000.0,675000.0,730000.0,0.0,626500.0,298500.0,305000.0,351550.0,410000.0,363000.0,395000.0,370000.0,-0.217,-0.031,-0.267,0.188,0.081,-1.0,,0.24,0.022,0.153,0.166,-0.115,0.088,-0.063
850,vaucluse-nsw-2030,2030,NSW,6.251,9337,57148,96.0,54.0,3.0,0.0,51.0,42.0,2.0,22.0,18.0,0.056,0.0,0.944,0.048,0.524,0.429,1423.0,833.0,133.0,286.0,283.0,590.0,47.0,351.0,177.0,0.585,0.16,0.343,0.34,0.415,0.08,0.595,0.3,4340000.0,4280000.0,5840000.0,5300000.0,5200000.0,6100000.0,1007000.0,1154930.0,1240000.0,1050000.0,1060000.0,1200000.0,0.406,-0.014,0.364,-0.092,-0.019,0.173,0.192,0.147,0.074,-0.153,0.01,0.132,0.0,5875000.0,0.0,0.0,6910000.0,0.0,0.0,1315000.0,1010000.0,0.0,925000.0,0.0,810000.0,0.0,,,-1.0,,,-1.0,,-1.0,-0.232,-1.0,,-1.0,,-1.0
851,templestowe-lower-vic-3107,3107,VIC,14.237,13429,33124,134.0,117.0,77.0,24.0,3.0,17.0,7.0,9.0,0.0,0.658,0.205,0.026,0.412,0.529,0.0,1560.0,1422.0,553.0,662.0,156.0,138.0,2.0,61.0,73.0,0.912,0.389,0.466,0.11,0.088,0.014,0.442,0.529,1110000.0,1275000.0,1150000.0,1061000.0,1191000.0,1410000.0,641000.0,436000.0,700000.0,605000.0,765000.0,725000.0,0.27,0.149,-0.098,-0.077,0.123,0.184,0.131,-0.32,0.606,-0.136,0.264,-0.052,0.0,1225000.0,1415000.0,1350000.0,1448000.0,1370000.0,1300000.0,556275.0,0.0,0.0,570000.0,480000.0,0.0,810000.0,,,0.155,-0.046,0.073,-0.054,-0.051,0.456,-1.0,,,-0.158,-1.0,
852,leederville-wa-6007,6007,WA,2.769,3158,59852,45.0,26.0,3.0,3.0,1.0,19.0,7.0,0.0,0.0,0.115,0.115,0.038,0.368,0.0,0.0,138.0,88.0,52.0,22.0,0.0,50.0,14.0,34.0,2.0,0.638,0.591,0.25,0.0,0.362,0.28,0.68,0.04,730000.0,838000.0,915000.0,855000.0,890000.0,950000.0,425000.0,415000.0,454000.0,360000.0,355000.0,435000.0,0.301,0.148,0.092,-0.066,0.041,0.067,0.024,-0.024,0.094,-0.207,-0.014,0.225,880000.0,0.0,1350000.0,0.0,0.0,0.0,0.0,435000.0,0.0,0.0,0.0,360000.0,0.0,0.0,-1.0,-1.0,,-1.0,,,,-1.0,-1.0,,,,-1.0,
853,heathridge-wa-6027,6027,WA,22.65,6661,38584,137.0,136.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0,574.0,333.0,217.0,21.0,5.0,0.0,2.0,3.0,0.991,0.58,0.378,0.037,0.009,0.0,0.4,0.6,465000.0,453500.0,450000.0,430000.0,445000.0,510000.0,0.0,0.0,0.0,290000.0,0.0,0.0,0.097,-0.025,-0.008,-0.044,0.035,0.146,,,,,-1.0,,500000.0,468000.0,490000.0,520000.0,530000.0,500000.0,489000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.064,0.047,0.061,0.019,-0.057,-0.022,,,,,,,
